Con_id	Speed_limit	Road_Junction_Control	Pedestrian_Crossing-Human_Control	Pedestrian_Crossing-Physical_Facilities	Light_Conditions	Weather_Conditions	Road_Surface_Conditions	Special_Conditions_at_Site
32	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
33	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Raining without high winds	Wet/Damp	None
34	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
35	30		None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
36	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
37	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
38	30		None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
39	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
40	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
41	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	Roadworks
42	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
43	30		None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
44	30		None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
45	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Snowing without high winds	Snow	None
46	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
47	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
48	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
49	30		None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
50	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
51	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
52	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Other	Frost/Ice	None
53	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
54	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
55	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
56	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
57	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Darkness: Street lights present and lit	Other	Dry	None
58	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
59	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
60	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
61	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
62	30		None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
63	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Other	Wet/Damp	None
64	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
65	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
66	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
67	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
68	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
69	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
70	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
71	30	Giveway or uncontrolled	None within 50 metres	non-junction pedestrian crossing	Daylight: Street light present	Fine without high winds	Dry	None
72	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
73	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
74	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
75	50	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
76	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
77	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
78	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
79	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
80	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
81	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
82	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
83	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	Roadworks
84	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
85	30		None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
86	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
87	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
88	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
89	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
90	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
91	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
92	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
93	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
94	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
95	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
96	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
97	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
98	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
99	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
100	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
101	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
102	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
103	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
104	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
105	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
106	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
107	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
108	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
109	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
110	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
111	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
112	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
113	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
114	30	Giveway or uncontrolled	None within 50 metres	non-junction pedestrian crossing	Daylight: Street light present	Fine without high winds	Dry	None
115	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Darkness: Street lights present and lit	Fine without high winds	Dry	None
116	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
117	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Darkness: Street lights present and lit	Fine without high winds	Dry	None
118	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
119	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
120	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Raining without high winds	Wet/Damp	None
121	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
122	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
123	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
124	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
125	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
126	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
127	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
128	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
129	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
130	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
131	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
132	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
133	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
134	30		None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
135	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
136	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Raining without high winds	Wet/Damp	None
137	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
138	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
139	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Darkness: Street lights present and lit	Fine without high winds	Dry	None
140	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
141	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
142	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
143	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
144	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
145	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Raining without high winds	Wet/Damp	None
146	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
147	30	Automatic traffic signal	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
148	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
149	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
150	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
151	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
152	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
153	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
154	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
155	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Raining without high winds	Wet/Damp	None
156	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
157	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
158	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
159	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
160	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
161	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
162	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
163	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
164	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
165	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
166	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
167	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
168	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
169	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
170	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
171	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
172	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
173	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
174	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
175	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
176	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
177	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
178	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
179	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
180	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
181	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
182	30		None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
183	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Darkness: Street lights present and lit	Fine without high winds	Dry	None
184	40		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
185	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
186	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
187	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
188	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
189	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Raining without high winds	Wet/Damp	None
190	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Raining without high winds	Wet/Damp	None
191	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
192	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Wet/Damp	None
193	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
194	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
195	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
196	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Raining without high winds	Wet/Damp	None
197	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
198	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Fine without high winds	Dry	None
199	30		None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
200	40		None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
201	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
202	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
203	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
204	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
205	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
206	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Darkness: Street lights present and lit	Fine without high winds	Dry	None
207	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
208	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
209	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
210	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
211	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Fine without high winds	Dry	None
212	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Raining without high winds	Wet/Damp	None
213	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
214	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
215	30		None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
216	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
217	30		None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
218	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
219	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
220	30		None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
221	30	Giveway or uncontrolled	None within 50 metres	Central refuge	Daylight: Street light present	Fine without high winds	Dry	None
222	30	Giveway or uncontrolled	None within 50 metres	Zebra crossing	Daylight: Street light present	Fine without high winds	Dry	None
223	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Darkness: Street lights present and lit	Raining without high winds	Wet/Damp	None
224	30	Automatic traffic signal	None within 50 metres	Pedestrian phase at traffic signal junction	Darkness: Street lights present and lit	Raining with high winds	Wet/Damp	None
225	30	Giveway or uncontrolled	None within 50 metres	No physical crossing within 50 meters	Daylight: Street light present	Fine without high winds	Dry	None
226	30		None within 50 metres	Pedestrian phase at traffic signal junction	Daylight: Street light present	Fine without high winds	Dry	None
