Road_Id,Road_Name,Road_category,Road_Type
196,A650,TU,Dual carriageway
197,A650,PU,One way street
198,A654,PU,Single carriageway
199,A656,PU,Single carriageway
200,A657,PU,Single carriageway
201,A658,PU,Roundabout
202,A1146,PR,Single carriageway
203,A6029,PU,Single carriageway
204,A6033,PR,Single carriageway
205,A6036,PU,Dual carriageway
206,A6038,PR,Single carriageway
207,A6101,PU,Single carriageway
208,A6108,PR,Single carriageway
209,A6022,PU,Single carriageway
210,A6133,PU,Roundabout
211,A1165,PU,Single carriageway
212,A6131,PU,Single carriageway
213,A61,PR,Roundabout
214,A1029,PU,Roundabout
215,A63,TU,Dual carriageway
216,A1079,PU,Single carriageway
217,A661,PR,Dual carriageway
218,A635,PR,One way street
219,A61,TR,Single carriageway
220,A1136,PU,One way street
221,A650,TR,Single carriageway
222,A6023,PU,Single carriageway
223,A661,PU,Single carriageway
224,A635,PU,Dual carriageway
225,M1,TM,One way street
226,M62,TM,One way street
227,M181,TM,Single carriageway
228,A60,PR,Dual carriageway
229,A1105,PU,Roundabout
230,A161,PR,Single carriageway
231,A166,PR,Dual carriageway
232,A171,PR,Dual carriageway
233,A614,PR,One way street
234,A618,PR,Single carriageway
235,A628,PU,Single carriageway
236,A6178,PU,Dual carriageway
237,A633,PR,Single carriageway
238,A637,PR,Single carriageway
239,A640,PU,Single carriageway
240,A645,PR,Single carriageway
241,A652,PU,Single carriageway
242,A684,PR,Single carriageway
243,A1035,PR,Single carriageway
244,A1041,PR,Dual carriageway
245,A1098,PU,Single carriageway
246,A6034,PR,Single carriageway
247,A6038,PU,Single carriageway
248,A6055,PR,Single carriageway
249,A6108,PR,Roundabout
250,A6120,TU,One way street
251,A630,PU,Dual carriageway
252,A631,TU,Roundabout
253,A629,TR,One way street
254,A625,PU,Single carriageway
255,A642,PU,Dual carriageway
256,A160,TR,Single carriageway
257,A1237,TU,Single carriageway
258,A616,PR,Dual carriageway
259,M18,TM,Dual carriageway
260,A1033,PU,Single carriageway
261,A6133,PU,Single carriageway
262,A19,PR,Single carriageway
263,A58,PM,Single carriageway
264,A1,TR,Dual carriageway
265,A65,PR,Single carriageway
266,A167,PU,Single carriageway
267,A169,PR,Single carriageway
268,A637,PU,Single carriageway
269,A646,PU,Single carriageway
270,A655,PR,Single carriageway
271,A660,TR,Single carriageway
272,A6024,PR,Single carriageway
273,A6025,PU,Single carriageway
274,A6033,PU,Single carriageway
275,A6101,PR,Single carriageway
276,A6110,PU,Dual carriageway
277,A6176,PU,Single carriageway
278,A6139,PU,Single carriageway
279,A6040,PU,Single carriageway
280,A1038,PU,Single carriageway
281,A58,PU,Roundabout
282,A1036,PU,Roundabout
283,A1173,PU,Single carriageway
284,A6040,PU,One way street
285,A19,TU,Single carriageway
286,A16,PR,Single carriageway
287,A171,PR,Single carriageway
288,A168,PR,Single carriageway
289,A159,PU,Single carriageway
290,A162,PR,Single carriageway
291,A6032,PU,Single carriageway
292,A616,PU,Single carriageway
293,A625,PR,Dual carriageway
294,A636,PU,Single carriageway
295,A6102,PR,Single carriageway
296,A656,PR,Single carriageway
297,A681,PR,Single carriageway
298,A1031,PU,Single carriageway
299,A1033,PR,Single carriageway
300,A1084,PR,Single carriageway
301,A6068,PU,Single carriageway
302,A647,PU,Dual carriageway
303,A1029,PR,Single carriageway
304,A6186,PU,Single carriageway
305,A6195,PR,Single carriageway
306,A628,TR,Single carriageway
307,A6036,PR,Single carriageway
308,A641,PU,Dual carriageway
309,A672,PR,Single carriageway
310,A60,PR,Single carriageway
311,A1041,TR,Single carriageway
312,A1079,PR,Single carriageway
313,A653,PU,Dual carriageway
314,A56,PR,Single carriageway
315,A682,PR,Single carriageway
316,A639,PR,Dual carriageway
317,A1,TM,Dual carriageway
318,A64,TR,Dual carriageway
319,A1033,TU,Dual carriageway
320,A1031,PR,Dual carriageway
321,A16,TR,Dual carriageway
322,A160,TR,Dual carriageway
323,A57,PU,Dual carriageway
324,M62,TM,Dual carriageway
325,A1,TU,Single carriageway
326,A638,TR,Single carriageway
327,A58,PU,Dual carriageway
328,A61,PU,Roundabout
329,A653,PU,Roundabout
330,A645,PU,Dual carriageway
331,A1,TU,Dual carriageway
332,A162,TR,Single carriageway
333,A168,PR,Dual carriageway
334,A168,TR,Roundabout
335,A6177,PU,Roundabout
336,A629,PU,Dual carriageway
337,A652,PU,One way street
338,A62,PU,Dual carriageway
339,A62,PU,One way street
340,A6135,PR,One way street
341,A629,PR,Dual carriageway
342,A64,TR,Roundabout
343,A59,PU,Dual carriageway
344,A1243,PU,Dual carriageway
345,A46,PU,Dual carriageway
346,A16,PR,Dual carriageway
347,A6135,PU,One way street
348,A1176,PU,Single carriageway
349,A6055,PR,Dual carriageway
350,A621,PR,Single carriageway
351,A618,PU,One way street
352,A630,PR,One way street
353,A57,PU,One way street
354,A630,PR,Dual carriageway
355,A6101,PU,Dual carriageway
356,A634,PU,Single carriageway
357,A630,PU,One way street
358,A164,PR,One way street
359,A639,PU,One way street
360,A645,PU,Roundabout
361,A6182,PU,Single carriageway
362,A645,PU,One way street
363,A161,PU,Dual carriageway
364,A1031,PR,Single carriageway
365,A1136,PR,Single carriageway
366,A59,PR,Dual carriageway
367,A6055,PU,Single carriageway
368,A6024,PU,Single carriageway
369,A1105,PR,Single carriageway
370,A642,PR,Dual carriageway
371,A62,PR,Single carriageway
372,A642,PR,One way street
373,A629,PU,One way street
374,A6120,TR,One way street
375,A64,TU,Single carriageway
376,A6120,TU,Roundabout
377,A660,TR,One way street
378,A168,PU,Single carriageway
379,A684,PU,Single carriageway
380,A6108,PU,Single carriageway
381,A170,PU,Dual carriageway
382,A159,PR,Single carriageway
383,A1077,PU,Single carriageway
384,A1041,TU,One way street
385,A63,TR,One way street
386,A6131,PR,Single carriageway
387,A6069,PU,Single carriageway
388,A6131,PR,Dual carriageway
389,A646,TR,Single carriageway
390,A171,PR,One way street
391,A174,PU,Single carriageway
392,A1036,PR,Single carriageway
393,A57,TU,Roundabout
394,A57,TR,Roundabout
395,A1243,PR,Single carriageway
396,A65,TU,Single carriageway
397,A6068,PR,Single carriageway
398,A645,PR,Dual carriageway
399,A173,PR,Single carriageway
400,A6195,PU,Dual carriageway
401,A6187,PR,Single carriageway
402,A160,PU,Dual carriageway
403,A6195,PU,Single carriageway
404,M62,TM,Roundabout
405,A1,TR,One way street
406,A66,TM,One way street
407,A165,PR,One way street
408,A172,PR,Dual carriageway
409,A614,TR,Dual carriageway
410,A629,PR,Roundabout
411,A633,PU,Roundabout
412,A638,PU,One way street
413,A638,PR,One way street
414,A644,PU,One way street
415,A1035,PU,Single carriageway
416,A1079,TR,Dual carriageway
417,A164,PR,Dual carriageway
418,A1166,PU,One way street
419,M621,TM,Dual carriageway
420,A6037,PU,Dual carriageway
421,A1237,PR,Dual carriageway
422,A180,PU,Dual carriageway
423,M180,TM,Dual carriageway
424,A62,PU,Roundabout
425,A631,PR,Roundabout
426,A647,PU,One way street
427,A1098,PR,Single carriageway
428,A6120,PU,One way street
429,A1173,PR,Dual carriageway
430,A1166,PU,Dual carriageway
431,A1237,TR,Dual carriageway
432,A65,PU,Dual carriageway
433,A66,TR,Dual carriageway
434,A628,PR,Dual carriageway
435,A644,PR,Dual carriageway
436,A658,PU,Dual carriageway
437,A659,PU,Dual carriageway
438,A6107,PU,Dual carriageway
439,A6120,PU,Dual carriageway
440,A6102,PU,One way street
441,A6035,PU,Dual carriageway
442,M1,TM,Roundabout
443,A1,TM,Roundabout
444,A628,PU,Dual carriageway
445,A635,PR,Dual carriageway
446,A1041,PR,Single carriageway
447,A1079,PU,Dual carriageway
448,A6034,PR,Dual carriageway
449,A6120,TU,Dual carriageway
450,A631,TU,Single carriageway
451,A59,TR,Dual carriageway
452,A1077,PR,One way street
453,M18,TM,Roundabout
454,M180,TM,One way street
455,A18,PR,Slip road
456,A58,PR,Dual carriageway
457,A61,PU,Slip road
458,A65,PR,Dual carriageway
459,A170,PR,Dual carriageway
460,A171,PU,Dual carriageway
461,A684,PR,Dual carriageway
462,A6025,PU,Dual carriageway
463,A161,PR,Dual carriageway
464,A6131,PU,Dual carriageway
465,A64,PU,One way street
466,A625,PR,Single carriageway
467,A1079,PU,One way street
468,A1165,PU,One way street
469,A6135,PR,Dual carriageway
470,A6038,PR,Dual carriageway
471,A6036,PR,One way street
472,A631,PR,Dual carriageway
473,A16,TR,Single carriageway
474,A180,TR,Dual carriageway
475,A180,TR,Roundabout
476,A660,TR,Dual carriageway
477,A6177,PU,Dual carriageway
478,A638,PR,Dual carriageway
479,A61,TR,Dual carriageway
480,A1243,PU,Single carriageway
481,A64,PU,Dual carriageway
482,A19,PU,Dual carriageway
483,A161,PU,Single carriageway
484,A6055,PU,One way street
485,A1173,PU,Dual carriageway
486,A6120,TR,Single carriageway
487,A658,PR,Dual carriageway
488,A6108,PU,Slip road
489,A170,PU,Single carriageway
490,A57,TU,Single carriageway
491,A160,PU,Single carriageway
492,A6195,PU,One way street
493,A66,TM,Single carriageway
494,A164,PU,One way street
495,A646,TU,One way street
496,A650,TU,One way street
497,A6021,PU,One way street
498,A63,TR,Dual carriageway
499,A168,TR,Dual carriageway
500,A15,PR,Single carriageway
501,A6177,PU,One way street
502,A629,TR,Dual carriageway
503,A165,PU,Dual carriageway
504,A19,TR,Dual carriageway
505,M606,TM,Dual carriageway
506,A167,PR,Dual carriageway
507,A634,PR,One way street
508,A642,PU,One way street
509,A643,PU,One way street
510,A655,PU,One way street
511,A6022,PU,One way street
512,A1173,PR,One way street
513,A1029,PU,One way street
514,A57,PR,Dual carriageway
515,A59,PU,Roundabout
516,A58,PR,One way street
517,A64,PR,One way street
518,A635,PU,One way street
519,A643,PU,Roundabout
520,A6025,PU,Roundabout
521,A6176,PU,One way street
522,A167,PU,Dual carriageway
523,A65,TR,Dual carriageway
524,M621,TM,One way street
525,A58,PM,Dual carriageway
526,A1,TR,Roundabout
527,A164,PR,Roundabout
528,A1238,PU,Single carriageway
529,A6102,PR,One way street
530,A650,PU,Roundabout
531,A1036,PU,One way street
532,A6136,PR,One way street
533,A15,PR,One way street
534,A6181,PU,Roundabout
535,A64,TR,One way street
536,A629,TR,Roundabout
537,A163,PR,Dual carriageway
538,A1105,PU,Dual carriageway
539,A640,PR,Dual carriageway
540,A636,PU,One way street
541,A162,TR,One way street
542,A57,PU,Roundabout
543,A64,PU,Roundabout
544,A19,PU,Roundabout
545,A621,PR,Slip road
546,A6135,PU,Dual carriageway
547,A6195,PR,Roundabout
548,A635,PR,Slip road
549,A638,TU,Dual carriageway
550,A63,TR,Roundabout
551,A59,PR,Roundabout
552,A18,PR,Roundabout
553,A58,PU,Slip road
554,A646,TU,Roundabout
555,A159,PR,Dual carriageway
556,A1041,TU,Single carriageway
557,A1041,TR,Dual carriageway
558,A65,TR,Roundabout
559,A614,PU,Roundabout
560,A616,TR,Roundabout
561,A640,PR,Slip road
562,A642,PR,Slip road
563,A650,TU,Roundabout
564,A6142,PU,Slip road
565,A63,PR,Slip road
566,A1077,PR,Slip road
567,A6035,PU,Slip road
568,A660,PU,Dual carriageway
569,A6109,PU,Dual carriageway
570,M621,TM,Slip road
571,A637,PR,Roundabout
572,A656,PR,Dual carriageway
573,A6136,PR,Roundabout
574,A180,TR,One way street
575,A660,PU,Roundabout
576,A1079,PR,Dual carriageway
577,A6109,PU,Roundabout
578,A64,PM,Roundabout
579,A638,PU,Roundabout
580,A1098,PU,One way street
581,A6035,PU,One way street
582,A58,PR,Roundabout
583,A64,PR,Single carriageway
584,A660,PR,Single carriageway
585,A6176,PU,Dual carriageway
586,A64,PR,Dual carriageway
587,A618,PR,Dual carriageway
588,A684,PR,One way street
589,A6102,PR,Roundabout
590,A6068,PU,Dual carriageway
591,A616,TR,Dual carriageway
592,A636,PU,Dual carriageway
593,A672,PR,One way street
594,A630,PR,Roundabout
595,A1033,PR,Roundabout
596,A659,PR,Roundabout
597,A59,PU,One way street
598,A618,PU,Roundabout
599,A631,PU,Dual carriageway
600,A642,PR,Roundabout
601,A636,PU,Roundabout
602,A6120,PR,Single carriageway
603,A65,PR,Roundabout
604,A646,TR,Roundabout
605,A1036,PR,Dual carriageway
606,A6068,PR,Roundabout
607,A57,PR,One way street
608,A654,PR,Roundabout
609,A63,PR,Single carriageway
610,M180,TM,Roundabout
611,A63,TR,Slip road
612,A162,PR,Dual carriageway
613,A642,PU,Slip road
614,A646,PR,Single carriageway
615,A6120,PU,Slip road
616,A165,PU,One way street
617,A15,PR,Dual carriageway
618,A628,PR,Roundabout
619,A642,PU,Roundabout
620,A644,PR,Roundabout
621,A656,PU,Roundabout
622,A1146,PR,Dual carriageway
623,A6037,PU,One way street
624,A6107,PU,One way street
625,A635,PU,Roundabout
626,A614,PR,Slip road
627,A629,PR,Slip road
628,A644,PU,Dual carriageway
629,A645,PR,Slip road
630,A1098,PU,Dual carriageway
631,A1174,PU,Dual carriageway
632,A6108,PR,Dual carriageway
633,A6181,PU,One way street
634,A1237,PU,Single carriageway
635,A628,PU,Roundabout
636,A58,PM,One way street
637,A636,PR,One way street
638,A637,PU,Dual carriageway
639,A641,PU,Roundabout
640,A645,PR,Roundabout
641,A646,PU,Roundabout
642,A652,PU,Roundabout
643,A655,PR,Roundabout
644,A660,PR,One way street
645,A6024,PR,One way street
646,A6139,PU,Dual carriageway
647,A631,PU,Roundabout
648,A46,PU,Roundabout
649,A644,PU,Roundabout
650,A618,PR,One way street
651,A6102,PR,Dual carriageway
652,A1031,PU,Dual carriageway
653,A1077,PR,Roundabout
654,A1079,PR,Roundabout
655,A635,PR,Roundabout
656,A629,TR,Slip road
657,A1033,PR,Dual carriageway
658,A636,PR,Roundabout
659,A1,TU,Roundabout
660,A1,TU,Slip road
661,A168,PR,Roundabout
662,A6102,PU,Slip road
663,A165,PU,Roundabout
664,A646,PU,Slip road
665,A6120,PU,Roundabout
666,A6038,PR,Roundabout
667,A684,PU,Dual carriageway
668,A1041,PU,Roundabout
669,A6069,PU,Dual carriageway
670,A647,PU,Slip road
671,A1243,PR,Dual carriageway
672,M1,TM,Slip road
673,A168,PR,One way street
674,A6187,PR,Dual carriageway
675,A63,PU,Slip road
676,A170,PR,Roundabout
677,A172,PR,One way street
678,A618,PU,Dual carriageway
679,A639,PU,Roundabout
680,A638,PR,Roundabout
681,A654,PR,Dual carriageway
682,A1033,TU,Roundabout
683,A629,PU,Roundabout
684,A6182,PR,Dual carriageway
685,A64,TR,Unknown
686,A1136,PU,Roundabout
687,A16,PU,Slip road
688,A661,PR,Slip road
689,A46,PR,Dual carriageway
690,A165,PR,Roundabout
691,A672,PR,Roundabout
692,A6123,PU,Dual carriageway
693,A63,PU,Single carriageway
694,A6069,PR,Dual carriageway
695,A1173,PR,Roundabout
696,A1166,PU,Roundabout
697,A661,PR,Roundabout
698,M606,TM,Roundabout
699,A64M,PM,Single carriageway
700,A163,PR,Slip road
701,A634,PR,Slip road
702,A651,PU,Slip road
703,A654,PU,Roundabout
704,A656,PU,Slip road
705,A1146,PR,Roundabout
706,A6021,PU,Roundabout
707,A6133,PU,Dual carriageway
708,A1,TR,Slip road
709,A630,PU,Roundabout
710,A63,PR,Dual carriageway
711,A171,PR,Roundabout
712,A6178,PU,Roundabout
713,A649,PU,Dual carriageway
714,A6102,PU,Roundabout
715,A166,PR,Roundabout
716,A171,PU,Roundabout
717,A646,PU,Dual carriageway
718,A653,PU,Slip road
719,A6023,PU,Dual carriageway
720,A1038,PU,Dual carriageway
721,A6040,PU,Roundabout
722,A628,PU,Slip road
723,A165,PU,Slip road
724,A1174,PR,Roundabout
725,A164,PU,Roundabout
726,A64,PM,Dual carriageway
727,A6186,PU,Roundabout
728,A1033,PU,Roundabout
729,A628,TR,Roundabout
730,A6033,PR,Dual carriageway
731,A6036,PR,Dual carriageway
732,A618,PR,Roundabout
733,A636,PR,Dual carriageway
734,A56,PR,Dual carriageway
735,A682,PR,Dual carriageway
736,A639,PR,Roundabout
737,A660,PR,Dual carriageway
738,A61,TR,One way street
739,A19,TR,Slip road
740,A1136,PU,Dual carriageway
741,A1176,PU,Dual carriageway
742,A659,TR,Dual carriageway
743,A172,TR,Single carriageway
744,A659,TR,Single carriageway
745,A621,PR,Dual carriageway
746,A57,PU,Slip road
747,A655,PU,Dual carriageway
748,A6182,PU,Dual carriageway
749,A614,PU,Dual carriageway
750,A635,PU,Unknown
751,A6120,PR,Dual carriageway
752,A167,PU,Roundabout
753,A1041,PU,Single carriageway
754,A6069,PU,Roundabout
755,A6131,PR,Slip road
756,A174,PU,Slip road
757,A19,PU,One way street
758,A1238,PR,Single carriageway
759,A640,PR,One way street
760,A658,PU,One way street
761,A1029,PU,Dual carriageway
762,A18,PU,Roundabout
763,A16,PU,One way street
764,A19,PR,Slip road
765,A687,PR,Roundabout
766,A1039,PR,Dual carriageway
767,A1098,PR,Dual carriageway
768,A6110,PU,Roundabout
769,A6135,PU,Slip road
770,A18,PU,Slip road
771,A169,PR,One way street
772,A654,PU,Dual carriageway
773,A6177,PU,Slip road
774,A629,PU,Slip road
775,A1033,PU,Dual carriageway
776,A1246,TR,Single carriageway
777,A643,PU,Slip road
778,A660,PR,Roundabout
779,A6024,PR,Slip road
780,A6033,PU,Dual carriageway
781,A6040,PU,Dual carriageway
782,A6131,PU,Roundabout
783,A159,PU,Dual carriageway
784,A6032,PU,Roundabout
785,A652,PU,Dual carriageway
786,A1174,PR,Single carriageway
787,A162,TU,Single carriageway
788,A659,TR,One way street
789,A1136,PR,Dual carriageway
790,A1237,PR,Roundabout
791,A6539,PU,Single carriageway
792,A1(T),TR,One way street
793,A1(M),TM,Single carriageway
794,A173,PR,Roundabout
795,A1033,PU,One way street
796,A6187,PR,One way street
797,A646,PU,One way street
798,A1,PR,Single carriageway
799,A64M,PM,Dual carriageway
800,A65,PU,Roundabout
801,A174,PR,Dual carriageway
802,A6110,PU,One way street
803,A631,TU,Dual carriageway
804,A1246,TR,Dual carriageway
805,A58,PM,Roundabout
806,A6069,PR,Roundabout
807,A1084,PR,Roundabout
808,A162,PU,Single carriageway
809,A162,PU,Dual carriageway
810,A162,PU,Roundabout
811,A19,TR,Roundabout
812,A614,PU,One way street
813,A645,PR,One way street
814,A62,PR,Dual carriageway
815,A6033,PU,Roundabout
816,A6123,PU,One way street
817,A650,PR,Single carriageway
818,A1(T),TR,Single carriageway
819,A1(M),TM,Roundabout
820,A6026,PU,Dual carriageway
821,A687,PR,Dual carriageway
822,A6109,PU,One way street
823,A65,PR,One way street
824,A654,PU,One way street
825,A6022,PU,Dual carriageway
826,A6178,PU,One way street
827,A631,TU,One way street
828,A651,PU,One way street
829,A16,PR,Roundabout
830,A1238,PU,One way street
831,A684,PR,Roundabout
832,A6023,PU,Roundabout
833,A640,PR,Roundabout
834,A19,PR,Roundabout
835,A6135,PR,Roundabout
836,A659,TR,Roundabout
837,A655,PU,Roundabout
838,A1136,PR,Roundabout
839,A57,PR,Roundabout
840,A1035,PR,Roundabout
841,A1041,PR,Roundabout
842,A1(M),TM,Dual carriageway
843,A6195,PU,Roundabout
844,A659,PU,Roundabout
845,A635,PU,Slip road
846,A63,PR,Roundabout
847,A616,PR,Roundabout
848,A650,PU,Slip road
849,A656,PU,Dual carriageway
850,A6101,PU,Roundabout
851,A661,PU,Dual carriageway
852,A640,PU,Roundabout
853,A649,PU,Roundabout
854,A1041,PR,One way street
855,A1174,PU,Roundabout
856,A1246,PR,Single carriageway
857,A658,PR,Roundabout
858,A1039,PR,Roundabout
859,A6037,PU,Roundabout
860,A1173,PU,Slip road
861,A160,TR,Roundabout
862,A6102,PR,Slip road
863,A1079,PU,Roundabout
864,A162,PR,Roundabout
865,A15,PR,Slip road
866,M62,TM,Slip road
867,A684,PR,Slip road
868,A6195,PR,Dual carriageway
869,A637,PR,Dual carriageway
870,A1105,PR,Dual carriageway
871,A62,PR,One way street
872,A6038,PU,One way street
873,A170,PU,Roundabout
874,A1041,PU,Dual carriageway
875,A64,TR,Slip road
876,A6539,PR,Dual carriageway
877,A162,TR,Dual carriageway
878,A173,PR,Dual carriageway
879,A625,PR,Slip road
880,A60,PU,Dual carriageway
881,A63,PU,Dual carriageway
882,A6135,PU,Roundabout
883,A633,PU,One way street
884,A661,PR,One way street
885,A6109,PU,Slip road
886,A6024,PU,Dual carriageway
887,A1237,PR,One way street
888,A651,PU,Roundabout
889,A171,PR,Slip road
890,A640,PU,One way street
891,A644,PU,Slip road
892,A1035,PR,Dual carriageway
893,A6055,PR,Roundabout
894,A1237,PU,Roundabout
895,A169,PR,Roundabout
896,A6101,PR,Roundabout
897,A168,PR,Slip road
898,A6032,PU,Dual carriageway
899,A681,PR,Dual carriageway
900,A1174,PR,Dual carriageway
901,A1034,PR,Roundabout
902,A15,PR,Roundabout
903,A6186,PU,Slip road
904,A628,TR,Slip road
905,A163,PR,One way street
906,A161,PR,Roundabout
907,A61,PR,Slip road
908,A6055,PR,Slip road
909,A172,TR,Roundabout
910,A1035,PU,Roundabout
911,A60,PR,Roundabout
912,A62,PR,Roundabout
913,A6038,PU,Roundabout
914,A659,PU,One way street
915,A168,PU,Dual carriageway
916,A1077,PU,Dual carriageway
917,A6131,PR,Roundabout
918,A1036,PR,Roundabout
919,A1(M),TM,Slip road
920,A6539,PR,Single carriageway
921,A6142,PU,Dual carriageway
922,A46,PR,Roundabout
923,A633,PU,Slip road
924,A1,TM,Slip road
925,A6029,PU,Slip road
926,A631,PR,Slip road
927,A1237,PU,Dual carriageway
928,A58M,PM,Single carriageway
929,A653,PU,One way street
930,A6038,PR,One way street
931,A6068,PR,One way street
932,A6021,PR,Single carriageway
933,A63,TU,Roundabout
934,M181,TM,Roundabout
935,A633,PR,One way street
936,A65,PR,Slip road
937,A1243,PU,Roundabout
938,A63,PU,Roundabout
939,A6195,PR,Slip road
940,A60,PU,Roundabout
941,A6026,PU,Roundabout
942,A16,PU,Dual carriageway
